age,gender,weight (KG),height (CM),BMI,daily steps,heart rate (BPM),calories burned
29,M,52,173,17.37,5510,76,501
40,F,52,175,16.98,5345,96,486
34,M,62,173,20.72,4510,89,410
45,F,72,180,22.22,5812,98,528
44,F,62,159,24.52,5779,93,525
59,F,62,184,18.31,4992,77,454
45,F,62,167,22.23,4662,75,424
37,M,62,167,22.23,5152,89,468
40,F,62,174,20.48,4808,70,437
30,F,72,181,21.98,5922,70,538
55,M,72,162,27.43,4789,83,435
52,M,52,161,20.06,4574,85,416
59,M,52,175,16.98,5658,102,514
30,M,62,172,20.96,4830,80,439
58,F,62,167,22.23,5866,90,533
43,F,52,182,15.7,5873,71,534
38,F,72,169,25.21,4539,60,413
50,F,52,176,16.79,5651,96,514
24,F,62,175,20.24,5281,102,480
46,F,62,177,19.79,4931,61,448
51,F,72,165,26.45,5064,87,460
48,M,72,183,21.5,5307,105,482
20,F,72,164,26.77,5644,71,513
24,M,72,160,28.13,5317,60,483
25,F,52,158,20.83,4949,101,450
60,M,72,183,21.5,4576,82,416
34,F,72,182,21.74,5071,105,461
21,F,72,166,26.13,5652,94,514
50,F,62,155,25.81,5116,93,465
47,F,72,183,21.5,4676,80,425
27,F,72,175,23.51,5868,60,533
48,M,62,169,21.71,5170,96,470
45,M,52,180,16.05,4821,86,438
57,F,72,182,21.74,4840,103,440
25,M,62,182,18.72,5528,68,503
27,F,72,164,26.77,4800,80,436
49,F,62,185,18.12,4723,94,429
29,M,72,158,28.84,5601,101,509
42,F,62,182,18.72,5660,67,515
45,F,62,177,19.79,5965,75,542
46,M,62,169,21.71,4947,67,450
58,F,52,184,15.36,4949,73,450
48,M,72,178,22.72,5274,83,479
39,M,52,168,18.42,4755,61,432
48,M,62,159,24.52,5800,66,527
41,F,72,184,21.27,5117,90,465
54,M,52,158,20.83,5154,62,469
57,F,52,161,20.06,5340,89,485
51,F,52,180,16.05,5454,62,496
26,M,62,181,18.92,4885,70,444
51,M,52,185,15.19,5570,93,506
22,F,72,160,28.13,5608,89,510
60,M,72,173,24.06,4757,91,432
36,M,72,166,26.13,4780,104,435
47,F,62,180,19.14,4576,63,416
45,M,72,157,29.21,4632,101,421
30,M,62,164,23.05,5242,83,477
34,F,62,177,19.79,5478,68,498
42,F,72,175,23.51,4767,89,433
38,F,62,157,25.15,4899,94,445
56,F,72,160,28.13,5965,90,542
53,F,72,158,28.84,5890,64,535
57,M,62,168,21.97,5781,77,526
23,M,62,172,20.96,5400,76,491
27,M,72,178,22.72,5033,70,458
